strategy,severity,climate,scenario_combo_3axis,building_type,area_m2,floors,n_spaces,hvac_system_type,Q_cool_des_kw,Q_heat_des_kw,Q_air_nom_m3h,step,elapsed_days,day,year,day_of_year,hour_of_day,time_step_hours,time_scale_days,T_amb_C,T_max_C,RH_mean_pct,GHI_mean_Wm2,occ,T_sp_C,alpha_flow,R_f,dust_kg,dP_Pa,delta,COP_eff,mode,Q_cool_kw,Q_heat_kw,Q_HVAC_kw,P_hvac_kw,P_fan_kw,P_pump_kw,P_auxiliary_kw,P_total_kw,thermal_hvac_kwh_period,fan_kwh_period,pump_kwh_period,auxiliary_kwh_period,people_count,internal_gains_kw,sensible_people_kw,energy_kwh_period,energy_kwh_day,co2_kg_period,co2_kg_day,comfort_dev_C,occupied_discomfort_flag,occupied_discomfort_day_equiv,cost_usd_period,cost_usd_day,hx_cleaned,filter_replaced,baseline_flag
S2,Baseline_NoDegradation,C0_Baseline,BASELINE_S2_C0_Baseline,Educational / University building,1000.0,2,10,Chiller_AHU,100.0,55.0,4000.0,21,20.0,21,1,21,0.0,24.0,1.0,14.080033795030955,18.815263418604296,52.331149350130616,387.306888551424,0.8,23.0,1.0,0.0,0.0,150.0,0.0,4.5,cooling,18.953568633992234,7.0600439904246315,18.953568633992234,4.211904140887163,0.23809523809523814,0.0,0.44000000000000006,4.8899993789824014,101.0856993812919,5.714285714285715,0.0,10.560000000000002,64.0,12.959999999999999,4.8,117.35998509557763,117.35998509557763,62.90495201122961,62.90495201122961,0.5351979722981426,1,1.0,14.083198211469314,14.083198211469314,0,0,1
S2,Baseline_NoDegradation,C0_Baseline,BASELINE_S2_C0_Baseline,Educational / University building,1000.0,2,10,Chiller_AHU,100.0,55.0,4000.0,22,21.0,22,1,22,0.0,24.0,1.0,13.336514526495176,18.53130351880941,51.96399612478038,397.3065598353648,0.8,23.0,1.0,0.0,0.0,150.0,0.0,4.5,cooling,19.04200639811912,8.536755870988749,19.04200639811912,4.231556977359805,0.23809523809523814,0.0,0.44000000000000006,4.9096522154550435,101.55736745663532,5.714285714285715,0.0,10.560000000000002,64.0,12.959999999999999,4.8,117.83165317092104,117.83165317092104,63.15776609961368,63.15776609961368,0.5798091284102895,1,1.0,14.139798380510525,14.139798380510525,0,0,1
S2,Baseline_NoDegradation,C0_Baseline,BASELINE_S2_C0_Baseline,Educational / University building,1000.0,2,10,Chiller_AHU,100.0,55.0,4000.0,23,22.0,23,1,23,0.0,24.0,1.0,14.259837692160684,19.43845016257266,54.082699446256825,397.1985127582056,0.8,23.0,1.0,0.0,0.0,150.0,0.0,4.5,cooling,19.099168788443432,6.7029334725142,19.099168788443432,4.244259730765207,0.23809523809523814,0.0,0.44000000000000006,4.9223549688604455,101.86223353836496,5.714285714285715,0.0,10.560000000000002,64.0,12.959999999999999,4.8,118.13651925265069,118.13651925265069,63.32117431942077,63.32117431942077,0.5244097384703608,1,1.0,14.176382310318083,14.176382310318083,0,0,1
S2,Baseline_NoDegradation,C0_Baseline,BASELINE_S2_C0_Baseline,Educational / University building,1000.0,2,10,Chiller_AHU,100.0,55.0,4000.0,24,23.0,24,1,24,0.0,24.0,1.0,13.895061864256196,18.863174579893634,49.230018151225295,372.3338755186931,0.8,23.0,1.0,0.0,0.0,150.0,0.0,4.5,cooling,19.069154628384105,7.42741879738006,19.069154628384105,4.23758991741869,0.23809523809523814,0.0,0.44000000000000006,4.915685155513929,101.70215801804856,5.714285714285715,0.0,10.560000000000002,64.0,12.959999999999999,4.8,117.97644373233429,117.97644373233429,63.23537384053118,63.23537384053118,0.546296288144628,1,1.0,14.157173247880115,14.157173247880115,0,0,1
S2,Baseline_NoDegradation,C0_Baseline,BASELINE_S2_C0_Baseline,Educational / University building,1000.0,2,10,Chiller_AHU,100.0,55.0,4000.0,25,24.0,25,1,25,0.0,24.0,1.0,13.53479866275655,18.135899931715958,53.26066626216732,385.2706477527478,0.8,23.0,1.0,0.0,0.0,150.0,0.0,4.5,cooling,19.170228709718568,8.142941544802966,19.170228709718568,4.260050824381904,0.23809523809523814,0.0,0.44000000000000006,4.938146062477142,102.2412197851657,5.714285714285715,0.0,10.560000000000002,64.0,12.959999999999999,4.8,118.51550549945142,118.51550549945142,63.52431094770596,63.52431094770596,0.5679120802346063,1,1.0,14.22186065993417,14.22186065993417,0,0,1
S2,Baseline_NoDegradation,C0_Baseline,BASELINE_S2_C0_Baseline,Educational / University building,1000.0,2,10,Chiller_AHU,100.0,55.0,4000.0,26,25.0,26,1,26,0.0,24.0,1.0,14.098668929408218,19.618360248522645,51.608736197581194,420.2306896203831,0.8,23.0,1.0,0.0,0.0,150.0,0.0,4.5,cooling,19.35871252202296,7.0230325429809035,19.35871252202296,4.301936116005102,0.23809523809523814,0.0,0.44000000000000006,4.9800313541003405,103.24646678412245,5.714285714285715,0.0,10.560000000000002,64.0,12.959999999999999,4.8,119.52075249840817,119.52075249840817,64.06312333914678,64.06312333914678,0.5340798642355082,1,1.0,14.342490299808981,14.342490299808981,0,0,1
S2,Baseline_NoDegradation,C0_Baseline,BASELINE_S2_C0_Baseline,Educational / University building,1000.0,2,10,Chiller_AHU,100.0,55.0,4000.0,27,26.0,27,1,27,0.0,24.0,1.0,13.914680249184066,18.832505226037014,50.28512334393144,400.7957560396418,0.8,23.0,1.0,0.0,0.0,150.0,0.0,4.5,cooling,19.34238060377648,7.38845450509276,19.34238060377648,4.298306800839217,0.23809523809523814,0.0,0.44000000000000006,4.976402038934456,103.15936322014122,5.714285714285715,0.0,10.560000000000002,64.0,12.959999999999999,4.8,119.43364893442694,119.43364893442694,64.01643582885285,64.01643582885285,0.5451191850489572,1,1.0,14.332037872131233,14.332037872131233,0,0,1
S2,Baseline_NoDegradation,C0_Baseline,BASELINE_S2_C0_Baseline,Educational / University building,1000.0,2,10,Chiller_AHU,100.0,55.0,4000.0,28,27.0,28,1,28,0.0,24.0,1.0,14.89749140909172,19.20656323981478,52.921715366343044,414.4229035481331,0.8,23.0,1.0,0.0,0.0,150.0,0.0,4.5,cooling,19.455625040332286,5.4364823402761715,19.455625040332286,4.323472231184953,0.23809523809523814,0.0,0.44000000000000006,5.001567469280191,103.76333354843887,5.714285714285715,0.0,10.560000000000002,64.0,12.959999999999999,4.8,120.03761926272459,120.03761926272459,64.34016392482039,64.34016392482039,0.48615051545449717,1,1.0,14.40451431152695,14.40451431152695,0,0,1
S2,Baseline_NoDegradation,C0_Baseline,BASELINE_S2_C0_Baseline,Educational / University building,1000.0,2,10,Chiller_AHU,100.0,55.0,4000.0,29,28.0,29,1,29,0.0,24.0,1.0,14.278191580196165,18.69976843844078,52.06866423478791,401.1656909389579,0.8,23.0,1.0,0.0,0.0,150.0,0.0,4.5,cooling,19.458802692169414,6.666480611554842,19.458802692169414,4.324178376037647,0.23809523809523814,0.0,0.44000000000000006,5.002273614132886,103.78028102490353,5.714285714285715,0.0,10.560000000000002,64.0,12.959999999999999,4.8,120.05456673918926,120.05456673918926,64.34924777220544,64.34924777220544,0.5233085051882291,1,1.0,14.40654800870271,14.40654800870271,0,0,1
S2,Baseline_NoDegradation,C0_Baseline,BASELINE_S2_C0_Baseline,Educational / University building,1000.0,2,10,Chiller_AHU,100.0,55.0,4000.0,30,29.0,30,1,30,0.0,24.0,1.0,14.79158582937029,19.80032668757967,55.003374723038796,409.0512112295863,0.8,23.0,1.0,0.0,0.0,150.0,0.0,4.5,cooling,19.55061556557844,5.646822588889567,19.55061556557844,4.344581236795209,0.23809523809523814,0.0,0.44000000000000006,5.0226764748904476,104.26994968308502,5.714285714285715,0.0,10.560000000000002,64.0,12.959999999999999,4.8,120.54423539737074,120.54423539737074,64.61171017299073,64.61171017299073,0.4925048502377827,1,1.0,14.465308247684488,14.465308247684488,0,0,1
